ScientificName,SpecCode,CommonName,Environments,Subspecies
Mesoheros atromaculatus,47120,Mustatäpläkirjoahven,"['fresh', 'brackish']",[]
Mesoheros festae,12308,Festae,['fresh'],[]
Mesoheros gephyrus,47065,,['fresh'],[]
Mesoheros ornatus,47064,Esmeralda-Buntbarsch,['fresh'],[]
