ScientificName,SpecCode,CommonName,Environments,Subspecies
Chaca bankanensis,12013,Angler catfish,['fresh'],[]
Chaca burmensis,24971,Burmankitamonni,['fresh'],[]
Chaca chaca,10258,Angler catfish,['fresh'],[]
Chaca serica,66577,,['fresh'],[]
