ScientificName,SpecCode,CommonName,Environments,Subspecies
Congrogadus amplimaculatus,4415,Largespot eel blenny,['salt'],[]
Congrogadus hierichthys,4418,Sulu eelblenny,['salt'],[]
Congrogadus malayanus,4416,Malayan eel blenny,['salt'],[]
Congrogadus spinifer,4417,Small-spot eel-blenny,['salt'],[]
Congrogadus subducens,4419,Ambeetunbeet,"['brackish', 'salt']",[]
Congrogadus winterbottomi,59010,Pilbara eel blenny,['salt'],[]
