ScientificName,SpecCode,CommonName,Environments,Subspecies
Urobatis concentricus,13274,Bull's-eye stingray,['salt'],[]
Urobatis halleri,2580,Almindelig rund pigrokke,['salt'],[]
Urobatis jamaicensis,2581,Gul rund pigrokke,['salt'],[]
Urobatis maculatus,13276,Cortez ronde doornrog,['salt'],[]
Urobatis marmoratus,55059,Chilean round stingray,['salt'],[]
Urobatis pardalis,68154,,['salt'],[]
Urobatis tumbesensis,57392,Tumbe's ronde doornrog,"['brackish', 'salt']",[]
