ScientificName,SpecCode,CommonName,Environments,Subspecies
Anacanthobatis donghaiensis,54441,East China leg skate,['salt'],[]
Anacanthobatis marmorata,7957,Marmerpootrog,['salt'],[]
Anacanthobatis nanhaiensis,54439,Lõunahiina sileselgrai,['salt'],[]
