ScientificName,SpecCode,CommonName,Environments,Subspecies
Cyttus australis,14136,Australian silver dory,['salt'],[]
Cyttus novaezealandiae,14575,Dory,['salt'],[]
Cyttus traversi,10676,Bight dory,['salt'],[]
