ScientificName,SpecCode,CommonName,Environments,Subspecies
Amazonichthys camelierae,70428,,['fresh'],[]
Amazonichthys lindeae,53403,,['fresh'],[]
Amazonichthys lu,70521,,['fresh'],[]
