ScientificName,SpecCode,CommonName,Environments,Subspecies
Pegusa cadenati,8850,Cadenat's sole,['salt'],[]
Pegusa impar,1762,Aadria merikeel,['salt'],[]
Pegusa lascaris,1336,Acedía de arena,"['brackish', 'salt']",[]
Pegusa nasuta,7928,Blackhand sole,"['brackish', 'salt']",[]
Pegusa triophthalma,8851,Cyclope sole,"['brackish', 'salt']",[]
